"Product ID";Image;Name;Reference;Category;"Price (tax excl.)";"Price (tax incl.)";Quantity;Status;Position
2048;https://virtualagencystaging.com.au/9165/kids-premium-polarised-aviator-silver.jpg;"Premium Kids Polarised Aviator Mirror";PreKAvipolgo;Kids;22.681818;24.95;4;0
2047;https://virtualagencystaging.com.au/9162/pilot-mirror-gold-small.jpg;"Kids Pilot Aviator Gold Mirror";HBK1106MSG;Kids;13.590909;14.95;0;1
2046;https://virtualagencystaging.com.au/9159/pilot-mirror-black.jpg;"Kids Pilot Aviator Black";K1106blk;Kids;13.590909;14.95;6;0
2045;https://virtualagencystaging.com.au/9156/kids-pilot-silver-aviators.jpg;"Kids Pilot Aviator Silver ";ISK1106S;Kids;13.590909;14.95;0;1
2044;https://virtualagencystaging.com.au/9164/kids-premium-polarised-aviator-gold.jpg;"Premium Kids Polarised Aviator Gold";PreKAvipolgo;Kids;22.681818;24.95;4;0
2042;https://virtualagencystaging.com.au/9151/dakota-blue-round-sunglasses-kids.jpg;"Dakota - Blue Flexible Silicolne";K6596GPi;Kids;18.136364;19.95;4;0
2040;https://virtualagencystaging.com.au/9145/lady-g-black-mirror-square.jpg;"Lady G - Black Silver";CS6294Bl;Womens;31.772727;34.95;4;0
2039;https://virtualagencystaging.com.au/9139/cancun-grey-round-retro-sunglasses.jpg;"Cancun Grey Mirror Polarised";CTS6149MG;Polarised;31.772727;34.95;4;0
2038;https://virtualagencystaging.com.au/9138/cancun-round-gold-retro-sunglasses.jpg;"Cancun Black Gold Polarised";CTS6149BG;Polarised;31.772727;34.95;4;0
2037;https://virtualagencystaging.com.au/9137/cancun-round-retro-sunglasses.jpg;"Cancun Rose Gold Polarised";CTS6149CG;Polarised;31.772727;34.95;4;0
2036;https://virtualagencystaging.com.au/9136/cancun-round-tort-sunglasses.jpg;"Cancun Tort Polarised";CTS6149Bl;Polarised;31.772727;34.95;4;0
2035;https://virtualagencystaging.com.au/9125/lance-black.jpg;"Cadel - Black - Polarised";HT5929BK;Sports;29.045455;31.95;0;1
2034;https://virtualagencystaging.com.au/9122/jamie-foxx-black.jpg;"Foxx - Black Polarised Aviator Sunglasses";"HBP Zane RV";Aviator;36.318182;39.95;4;0
2033;https://virtualagencystaging.com.au/9120/jamie-foxx-mirror-aviator.jpg;"Foxx - Mirror Polarised Aviator Sunglasses";"HBP Zane RV";Aviator;36.318182;39.95;4;0
2032;https://virtualagencystaging.com.au/9108/franco-silver-polarised-aviator.jpg;"Franco Silver - Premium Polarised Aviators ";Monarch;Aviator;31.772727;34.95;4;0
2031;https://virtualagencystaging.com.au/9107/franco-gun-grey-polarised-aviator.jpg;"Franco Gun Grey - Premium Polarised Aviators ";Monarch;Aviator;31.772727;34.95;4;0
2030;https://virtualagencystaging.com.au/9106/franco-black-polarised-aviator.jpg;"Franco Black - Premium Polarised Aviators ";Monarch;Aviator;31.772727;34.95;4;0
